"Bairro","Taxa de alfabetização"
"Jardim Presidencial - Ji-Paraná (RO)","94.3"
"Parque São Pedro - Ji-Paraná (RO)","91.3"
"Jardim dos Migrantes - Ji-Paraná (RO)","95.7"
"Nossa Senhora de Fátima - Ji-Paraná (RO)","93.5"
"Jotão - Ji-Paraná (RO)","95.2"
"Duque de Caxias - Ji-Paraná (RO)","94.4"
"JK - Ji-Paraná (RO)","90.3"
"Jardim das Seringueiras - Ji-Paraná (RO)","91.4"
"Nova Brasília - Ji-Paraná (RO)","96.1"
"Conj. Mário Andreazza - Ji-Paraná (RO)","97.1"
"Riachuelo - Ji-Paraná (RO)","94.5"
"Primavera - Ji-Paraná (RO)","91.2"
"São Pedro - Ji-Paraná (RO)","93.0"
"Coronel Jorge T. de Oliveira - Ji-Paraná (RO)","92.4"
"Valparaíso - Ji-Paraná (RO)","92.1"
"Cafezinho - Ji-Paraná (RO)","93.4"
"Jardim Flórida - Ji-Paraná (RO)","97.1"
"São Francisco - Ji-Paraná (RO)","91.7"
"Alto Alegre - Ji-Paraná (RO)","95.7"
"União - Ouro Preto do Oeste (RO)","95.3"
"Bela Floresta - Ouro Preto do Oeste (RO)","96.7"
"Jardim Bandeirante - Ouro Preto do Oeste (RO)","93.6"
"Nova Ouro Preto - Ouro Preto do Oeste (RO)","93.4"
"Jardim Novo Horizonte - Ouro Preto do Oeste (RO)","89.0"
"Jardim Novo Estado - Ouro Preto do Oeste (RO)","90.5"
"Da Liberdade - Ouro Preto do Oeste (RO)","94.2"
"Alvorada - Ouro Preto do Oeste (RO)","93.2"
"Industrial - Ouro Preto do Oeste (RO)","86.3"
"Jardim Tropical - Ouro Preto do Oeste (RO)","97.1"
"Do Incra - Ouro Preto do Oeste (RO)","96.9"
"Jardim Aeroporto - Ouro Preto do Oeste (RO)","89.3"
"Juscelino Kubitschek - Porto Velho (RO)","95.5"
"Flodoaldo Pontes Pinto - Porto Velho (RO)","98.9"
"Tiradentes - Porto Velho (RO)","96.2"
"Industrial - Porto Velho (RO)","97.9"
"Nova Porto Velho - Porto Velho (RO)","97.9"
"Roque - Porto Velho (RO)","95.9"
"Liberdade - Porto Velho (RO)","98.7"
"São João Bosco - Porto Velho (RO)","98.7"
"São Cristóvão - Porto Velho (RO)","98.0"
"Nossa Senhora das Graças - Porto Velho (RO)","98.4"
"Mato Grosso - Porto Velho (RO)","97.2"
"Tucumanzal - Porto Velho (RO)","95.7"
"Olaria - Porto Velho (RO)","98.7"
"Agricolândia - Porto Velho (RO)","97.6"
"Centro - Porto Velho (RO)","99.2"
"Caiari - Porto Velho (RO)","98.6"
"Santa Bárbara - Porto Velho (RO)","97.2"
"Mocambo - Porto Velho (RO)","95.8"
"Baixa União - Porto Velho (RO)","95.7"
"Quilômetro Um - Porto Velho (RO)","97.5"
"Areal - Porto Velho (RO)","96.9"
"Triângulo - Porto Velho (RO)","95.2"
"Militar - Porto Velho (RO)","99.1"
"Floresta - Porto Velho (RO)","96.8"
"Panair - Porto Velho (RO)","96.0"
"Pedrinhas - Porto Velho (RO)","98.1"
"Embratel - Porto Velho (RO)","97.5"
"Tancredo Neves - Porto Velho (RO)","95.6"
"Tupi - Porto Velho (RO)","98.7"
"Costa e Silva - Porto Velho (RO)","96.5"
"São Sebastião - Porto Velho (RO)","94.7"
"Nacional - Porto Velho (RO)","93.9"
"Lagoa - Porto Velho (RO)","96.2"
"Agenor M. de Carvalho - Porto Velho (RO)","97.9"
"Rio Madeira - Porto Velho (RO)","99.0"
"Eldorado - Porto Velho (RO)","96.2"
"Aeroclube - Porto Velho (RO)","96.0"
"Cohab - Porto Velho (RO)","97.3"
"Castanheira - Porto Velho (RO)","95.8"
"Caladinho - Porto Velho (RO)","96.3"
"Nova Floresta - Porto Velho (RO)","96.3"
"Cidade do Lobo - Porto Velho (RO)","94.7"
"Eletronorte - Porto Velho (RO)","96.6"
"Novo Horizonte - Porto Velho (RO)","96.3"
"Areia Branca - Porto Velho (RO)","92.7"
"Cascalheira - Porto Velho (RO)","89.9"
"Escola de Polícia - Porto Velho (RO)","94.8"
"Teixeirão - Porto Velho (RO)","93.3"
"Planalto - Porto Velho (RO)","94.8"
"Lagoinha - Porto Velho (RO)","96.1"
"Três Marias - Porto Velho (RO)","96.3"
"Cuniã - Porto Velho (RO)","97.1"
"Igarapé - Porto Velho (RO)","96.2"
"Aponiã - Porto Velho (RO)","96.9"
"Conceição - Porto Velho (RO)","95.7"
"Centenário - Rolim de Moura (RO)","91.0"
"Jardim Tropical - Rolim de Moura (RO)","92.5"
"São Cristóvão - Rolim de Moura (RO)","91.3"
"Beira Rio - Rolim de Moura (RO)","90.2"
"Olímpico - Rolim de Moura (RO)","92.5"
"Boa Esperança - Rolim de Moura (RO)","92.4"
"Cidade Alta - Rolim de Moura (RO)","91.4"
"Bairro Industrial - Rolim de Moura (RO)","92.3"
"Planalto - Rolim de Moura (RO)","93.3"
"Nova Morada - Rolim de Moura (RO)","91.3"
"Centro - Rolim de Moura (RO)","96.9"
"Mutirão - Rolim de Moura (RO)","84.6"
"Jardim Eldorado - Vilhena (RO)","97.0"
"Parque São Paulo - Vilhena (RO)","93.7"
"Jardim América - Vilhena (RO)","98.1"
"Alto Alegre - Vilhena (RO)","94.1"
"Marcos Freire - Vilhena (RO)","91.1"
"Tancredo Neves - Vilhena (RO)","96.7"
"Nova Esperança - Vilhena (RO)","90.5"
"Centro - São Miguel do Guaporé (RO)","93.8"
"Novo Oriente - São Miguel do Guaporé (RO)","93.5"
"Cristo Rei - São Miguel do Guaporé (RO)","93.9"
"Planalto - São Miguel do Guaporé (RO)","92.5"
"Centro - Nova Mamoré (RO)","91.1"
"São José - Nova Mamoré (RO)","85.1"
"Santa Luzia - Nova Mamoré (RO)","92.7"
"Planalto - Nova Mamoré (RO)","86.4"
"Nossa Senhora de Fátima - Nova Mamoré (RO)","95.1"
"Cidade Nova - Nova Mamoré (RO)","88.9"
"João Clímaco - Nova Mamoré (RO)","93.9"
"Centro - Seringueiras (RO)","95.3"
"Cristo Rei - Seringueiras (RO)","94.2"
"São José - Seringueiras (RO)","93.5"
"Jardim das Américas - Seringueiras (RO)","89.5"
"Bela Vista - Seringueiras (RO)","89.6"
"Novo Horizonte - Urupá (RO)","93.1"
"Santíssima Trindade - Urupá (RO)","85.3"
"Alto Alegre - Urupá (RO)","88.5"
"Centro - Urupá (RO)","92.4"
"Sumaúma - Urupá (RO)","91.0"
"Centro - Amaturá (AM)","91.7"
"São Francisco - Amaturá (AM)","89.9"
"Santa Etelvina - Amaturá (AM)","87.6"
"Centro - Barcelos (AM)","96.9"
"São Sebastião - Barcelos (AM)","93.2"
"São Francisco - Barcelos (AM)","89.1"
"Nossa Senhora de Nazaré - Barcelos (AM)","89.7"
"Nossa Senhora Aparecida - Barcelos (AM)","91.4"
"Marivá - Barcelos (AM)","84.4"
"Morara - Barcelos (AM)","86.5"
"Santo Antônio - Barcelos (AM)","96.4"
"Centro - Barreirinha (AM)","95.1"
"São Judas Tadeu - Barreirinha (AM)","93.8"
"São Benedito - Barreirinha (AM)","93.3"
"Urbano Novo - Barreirinha (AM)","95.2"
"Beira Rio - Barreirinha (AM)","92.2"
"Centro - Benjamin Constant (AM)","88.6"
"Coimbra - Benjamin Constant (AM)","85.1"
"Colônia - Benjamin Constant (AM)","89.4"
"Cohabam - Benjamin Constant (AM)","86.7"
"Javarizinho - Benjamin Constant (AM)","78.0"
"Umarizal - Benjamin Constant (AM)","82.4"
"Bom Jardim - Benjamin Constant (AM)","83.6"
"Cidade Nova - Benjamin Constant (AM)","82.1"
"Castanhal - Benjamin Constant (AM)","90.9"
"Praia do Gado - Boca do Acre (AM)","76.4"
"Platô do Piquiá - Boca do Acre (AM)","80.5"
"Fortaleza - Boca do Acre (AM)","76.8"
"Macaxeiral - Boca do Acre (AM)","84.5"
"Lago Novo - Boca do Acre (AM)","73.0"
"Centro - Borba (AM)","91.8"
"São Sebastião - Borba (AM)","93.0"
"Ipiranga - Borba (AM)","90.3"
"Cristo Rei - Borba (AM)","91.2"
"Recreio - Borba (AM)","85.6"
"Centro - Carauari (AM)","85.0"
"Fátima - Carauari (AM)","74.5"
"Samuel Amaral - Carauari (AM)","76.5"
"Nova República - Carauari (AM)","81.9"
"Urbano Centro - Careiro (AM)","94.6"
"Urbano Vista Alegre - Careiro (AM)","92.6"
"Urbano Horizonte - Careiro (AM)","91.2"
"Urbano Industrial - Careiro (AM)","83.3"
"Urbano Sebastião Borges - Careiro (AM)","89.8"
"Do Pera - Coari (AM)","78.7"
"Chagas Aguiar - Coari (AM)","85.4"
"Santa Helena - Coari (AM)","88.0"
"Duque de Caxias - Coari (AM)","86.2"
"Itamarati - Coari (AM)","87.5"
"Santa Efigênia - Coari (AM)","90.9"
"União - Coari (AM)","90.7"
"Urucu - Coari (AM)","86.3"
"Espírito Santo - Coari (AM)","87.4"
"Tauá Mirim - Coari (AM)","88.8"
"Centro - Coari (AM)","91.3"
"Centro - Eirunepé (AM)","82.8"
"Nossa Senhora do Perpétuo Socorro - Eirunepé (AM)","67.5"
"Santo Antônio - Eirunepé (AM)","77.5"
"Nossa Senhora Aparecida - Eirunepé (AM)","78.8"
"Nossa Senhora de Fátima - Eirunepé (AM)","80.3"
"São José - Eirunepé (AM)","79.4"
"São Domingos Sávio - Humaitá (AM)","89.2"
"Nova Humaitá - Humaitá (AM)","87.0"
"São Pedro - Humaitá (AM)","93.6"
"São Sebastião - Humaitá (AM)","86.6"
"São Francisco - Humaitá (AM)","88.8"
"Santo Antônio - Humaitá (AM)","90.5"
"Novo Centenário - Humaitá (AM)","90.4"
"São José - Humaitá (AM)","93.7"
"Centro - Humaitá (AM)","92.3"
"São Cristóvão - Humaitá (AM)","89.1"
"Nossa Senhora do Carmo - Humaitá (AM)","84.9"
"Divino Pranto - Humaitá (AM)","88.8"
"Nova Esperança - Humaitá (AM)","82.7"
"Centro - Itacoatiara (AM)","97.4"
"Colônia - Itacoatiara (AM)","96.8"
"Jauary - Itacoatiara (AM)","94.9"
"Prainha - Itacoatiara (AM)","85.2"
"Pedreiras - Itacoatiara (AM)","93.0"
"Do Iracy - Itacoatiara (AM)","95.8"
"Santa Luzia - Itacoatiara (AM)","93.6"
"São Jorge - Itacoatiara (AM)","91.8"
"Santo Antônio - Itacoatiara (AM)","92.4"
"Araújo Costa - Itacoatiara (AM)","92.2"
"São Cristóvão - Itacoatiara (AM)","95.5"
"São Francisco - Itacoatiara (AM)","91.9"
"Tiradentes - Itacoatiara (AM)","96.0"
"Florestal - Itacoatiara (AM)","94.4"
"da Paz - Itacoatiara (AM)","87.4"
"Eduardo Braga I - Itacoatiara (AM)","91.7"
"Eduardo Braga II - Itacoatiara (AM)","88.1"
"Mamoud Amed - Itacoatiara (AM)","91.4"
"Jauary II - Itacoatiara (AM)","95.5"
"Jardim Adriana - Itacoatiara (AM)","92.0"
"Mutirão - Itacoatiara (AM)","91.3"
"Nogueira Junior - Itacoatiara (AM)","88.2"
"Jardim Lorena - Itacoatiara (AM)","96.1"
"Centenário - Itacoatiara (AM)","79.8"
"Bairro da Fonte - Lábrea (AM)","76.5"
"Centro - Lábrea (AM)","86.1"
"São José - Lábrea (AM)","86.0"
"Barra Limpa - Lábrea (AM)","79.7"
"Nossa Senhora de Fátima - Lábrea (AM)","72.8"
"Vila Falcão - Lábrea (AM)","77.4"
"Pantanal - Lábrea (AM)","78.4"
"Bairro Novo - Lábrea (AM)","65.0"
"Centro - Manacapuru (AM)","94.0"
"Aparecida - Manacapuru (AM)","88.5"
"Biribiri - Manacapuru (AM)","87.8"
"Liberdade - Manacapuru (AM)","87.3"
"Morada do Sol - Manacapuru (AM)","83.7"
"São Francisco - Manacapuru (AM)","90.2"
"São José - Manacapuru (AM)","87.2"
"Terra Preta - Manacapuru (AM)","88.0"
"União - Manacapuru (AM)","88.4"
"Correnteza - Manacapuru (AM)","85.6"
"Nova Manacá - Manacapuru (AM)","85.0"
"Centro - Manaus (AM)","98.2"
"Nossa Senhora Aparecida - Manaus (AM)","98.3"
"Presidente Vargas - Manaus (AM)","96.4"
"Praça 14 de Janeiro - Manaus (AM)","98.0"
"Cachoeirinha - Manaus (AM)","97.9"
"São Raimundo - Manaus (AM)","96.5"
"Glória - Manaus (AM)","96.7"
"Santo Antônio - Manaus (AM)","97.3"
"Vila da Prata - Manaus (AM)","97.0"
"Compensa - Manaus (AM)","95.2"
"São Jorge - Manaus (AM)","97.4"
"Santo Agostinho - Manaus (AM)","96.9"
"Nova Esperança - Manaus (AM)","97.4"
"Lírio do Vale - Manaus (AM)","97.3"
"Planalto - Manaus (AM)","98.8"
"Alvorada - Manaus (AM)","96.8"
"Redenção - Manaus (AM)","95.8"
"Da Paz - Manaus (AM)","97.5"
"Raiz - Manaus (AM)","97.9"
"São Francisco - Manaus (AM)","97.8"
"Petrópolis - Manaus (AM)","96.6"
"Japiim - Manaus (AM)","97.5"
"Coroado - Manaus (AM)","96.6"
"Educandos - Manaus (AM)","96.3"
"Santa Luzia - Manaus (AM)","95.9"
"Morro da Liberdade - Manaus (AM)","96.8"
"Betânia - Manaus (AM)","96.9"
"Colônia Oliveira Machado - Manaus (AM)","95.8"
"São Lázaro - Manaus (AM)","97.3"
"Crespo - Manaus (AM)","96.1"
"Vila Buriti - Manaus (AM)","99.3"
"Distrito Industrial I - Manaus (AM)","96.8"
"Mauazinho - Manaus (AM)","93.3"
"Colônia Antônio Aleixo - Manaus (AM)","89.8"
"Puraquequara - Manaus (AM)","91.4"
"Dom Pedro I - Manaus (AM)","98.5"
"Flores - Manaus (AM)","98.1"
"Parque 10 de Novembro - Manaus (AM)","98.9"
"Aleixo - Manaus (AM)","98.4"
"Adrianópolis - Manaus (AM)","98.4"
"Nossa Senhora das Graças - Manaus (AM)","97.7"
"São Geraldo - Manaus (AM)","96.9"
"Chapada - Manaus (AM)","98.6"
"Colônia Santo Antônio - Manaus (AM)","96.0"
"Novo Israel - Manaus (AM)","94.4"
"Colônia Terra Nova - Manaus (AM)","94.8"
"Santa Etelvina - Manaus (AM)","94.8"
"Monte das Oliveiras - Manaus (AM)","95.1"
"Cidade Nova - Manaus (AM)","97.8"
"Ponta Negra - Manaus (AM)","98.4"
"Tarumã - Manaus (AM)","94.3"
"Armando Mendes - Manaus (AM)","95.1"
"Zumbi dos Palmares - Manaus (AM)","94.6"
"São José Operário - Manaus (AM)","95.9"
"Tancredo Neves - Manaus (AM)","94.8"
"Jorge Teixeira - Manaus (AM)","93.9"
"Distrito Industrial II - Manaus (AM)","94.4"
"Novo Aleixo - Manaus (AM)","96.6"
"Cidade de Deus - Manaus (AM)","95.2"
"Nova Cidade - Manaus (AM)","97.6"
"Tarumã-Açu - Manaus (AM)","94.1"
"Gilberto Mestrinho - Manaus (AM)","94.9"
"Lago Azul - Manaus (AM)","91.2"
"Santa Luzia - Manicoré (AM)","90.5"
"Dom Bosco - Manicoré (AM)","91.9"
"Rocinha - Manicoré (AM)","85.8"
"Manicorezinho - Manicoré (AM)","92.1"
"Auxiliadora - Manicoré (AM)","86.9"
"Mazzarelo - Manicoré (AM)","93.4"
"Nossa Senhora do Rosário - Manicoré (AM)","90.5"
"São Domingos Sávio - Manicoré (AM)","88.8"
"Colônia da Ribeira - Manicoré (AM)","91.7"
"Centro - Manicoré (AM)","89.2"
"Ipasea - Manicoré (AM)","98.6"
"Mário Fonseca - Maués (AM)","93.4"
"Centro - Maués (AM)","95.4"
"Ramalho Júnior - Maués (AM)","93.2"
"Maresia - Maués (AM)","97.2"
"Santa Luzia - Maués (AM)","94.0"
"Santa Tereza - Maués (AM)","97.3"
"Do eden - Maués (AM)","94.4"
"Donga Michiles - Maués (AM)","90.7"
"Novo Bairro - Maués (AM)","85.9"
"Vale do Sol - Nova Olinda do Norte (AM)","88.4"
"Santa Maria - Nova Olinda do Norte (AM)","90.1"
"Chicolândia - Nova Olinda do Norte (AM)","88.6"
"Santa Luzia - Nova Olinda do Norte (AM)","90.9"
"Nossa Senhora de Fátima - Nova Olinda do Norte (AM)","89.3"
"Aerolândia - Nova Olinda do Norte (AM)","86.8"
"Centro - Nova Olinda do Norte (AM)","95.7"
"Centro - Novo Aripuanã (AM)","88.6"
"Dos Trabalhadores - Novo Aripuanã (AM)","86.1"
"Tv - Novo Aripuanã (AM)","88.4"
"Japiim - Novo Aripuanã (AM)","87.7"
"Nossa Senhora da Conceição - Novo Aripuanã (AM)","86.3"
"Centro - Parintins (AM)","96.1"
"Francesa - Parintins (AM)","96.9"
"Santa Clara - Parintins (AM)","97.6"
"Raimundo Muniz - Parintins (AM)","97.9"
"Santa Rita - Parintins (AM)","95.9"
"Palmares - Parintins (AM)","94.9"
"Nossa Senhora de Nazaré - Parintins (AM)","97.1"
"São Vicente de Paula - Parintins (AM)","95.4"
"Emílio Moreira - Parintins (AM)","97.6"
"Vitória Régia - Parintins (AM)","97.0"
"São Benedito - Parintins (AM)","96.1"
"São José - Parintins (AM)","94.9"
"João Novo - Parintins (AM)","99.6"
"Dejard Vieira - Parintins (AM)","96.6"
"Distrito Industrial - Parintins (AM)","X"
"Itaúna I - Parintins (AM)","94.2"
"Jacareacanga - Parintins (AM)","96.7"
"Paulo Corrêa - Parintins (AM)","93.9"
"Itaúna II - Parintins (AM)","95.1"
"Castanheira - Parintins (AM)","96.9"
"Centro - Presidente Figueiredo (AM)","96.2"
"Honório Roldão - Presidente Figueiredo (AM)","96.8"
"Tancredo Neves - Presidente Figueiredo (AM)","92.0"
"Urubuí - Presidente Figueiredo (AM)","95.5"
"José Dutra - Presidente Figueiredo (AM)","95.4"
"Morada do Sol - Presidente Figueiredo (AM)","97.9"
"Sol Nascente - Presidente Figueiredo (AM)","93.5"
"Aida Mendonça - Presidente Figueiredo (AM)","97.3"
"Orquídeas - Presidente Figueiredo (AM)","92.3"
"Galo da Serra - Presidente Figueiredo (AM)","94.2"
"Maruaga - Presidente Figueiredo (AM)","78.3"
"Waimiri - Presidente Figueiredo (AM)","99.4"
"Atroari - Presidente Figueiredo (AM)","94.5"
"Centro - Santo Antônio do Içá (AM)","91.3"
"Franco - Santo Antônio do Içá (AM)","83.2"
"Independência - Santo Antônio do Içá (AM)","80.6"
"Presidente Vargas - Santo Antônio do Içá (AM)","77.3"
"Pataquira - Santo Antônio do Içá (AM)","83.8"
"Taboca - Santo Antônio do Içá (AM)","86.8"
"São Francisco - Santo Antônio do Içá (AM)","84.3"
"Alvaro Maia - Santo Antônio do Içá (AM)","91.7"
"Planalto - Santo Antônio do Içá (AM)","91.7"
"Santa Etelvina - Santo Antônio do Içá (AM)","86.5"
"Campina - Santo Antônio do Içá (AM)","80.0"
"Tarauacá - Santo Antônio do Içá (AM)","78.1"
"Centro - São Paulo de Olivença (AM)","94.7"
"Santa Terezinha - São Paulo de Olivença (AM)","84.3"
"Benjamin Constant - São Paulo de Olivença (AM)","91.0"
"de Campinas - São Paulo de Olivença (AM)","89.6"
"Nosso Senhor do Bonfin - São Paulo de Olivença (AM)","89.7"
"São João - São Paulo de Olivença (AM)","91.8"
"Colônia São Sebastião - São Paulo de Olivença (AM)","89.7"
"José Carlos Mestrinho - São Paulo de Olivença (AM)","86.3"
"União - São Paulo de Olivença (AM)","73.9"
"Centro - Silves (AM)","97.5"
"Macajatuba - Silves (AM)","95.1"
"Castanheira - Silves (AM)","96.4"
"Panorama - Silves (AM)","98.1"
"Governador Plinio Coelho - Silves (AM)","94.7"
"Vila Costa - Silves (AM)","97.0"
"Centro - Urucurituba (AM)","93.3"
"Aparecida - Urucurituba (AM)","92.2"
"Livramento - Urucurituba (AM)","87.8"
"Pedreiras - Urucurituba (AM)","93.3"
"Liberdade - Urucurituba (AM)","91.8"
"São Lázaro - Urucurituba (AM)","92.7"
"Tabocal - Urucurituba (AM)","94.5"
"Centro - Boa Vista (RR)","97.7"
"Calunga - Boa Vista (RR)","97.5"
"São Vicente - Boa Vista (RR)","96.3"
"Mecejana - Boa Vista (RR)","98.4"
"São Francisco - Boa Vista (RR)","98.3"
"Trinta e um de Março - Boa Vista (RR)","96.7"
"Aparecida - Boa Vista (RR)","97.8"
"Canarinho - Boa Vista (RR)","99.2"
"São Pedro - Boa Vista (RR)","99.1"
"Treze de Setembro - Boa Vista (RR)","95.0"
"Pricumã - Boa Vista (RR)","98.3"
"Liberdade - Boa Vista (RR)","96.6"
"Jardim Floresta - Boa Vista (RR)","97.2"
"Aeroporto - Boa Vista (RR)","96.1"
"Dos Estados - Boa Vista (RR)","97.5"
"Paraviana - Boa Vista (RR)","99.0"
"Caçari - Boa Vista (RR)","99.5"
"Buritis - Boa Vista (RR)","95.1"
"Asa Branca - Boa Vista (RR)","94.6"
"Cambará - Boa Vista (RR)","95.2"
"Tancredo Neves - Boa Vista (RR)","95.3"
"Caimbé - Boa Vista (RR)","97.5"
"Caranã - Boa Vista (RR)","96.1"
"Centenário - Boa Vista (RR)","96.7"
"Governador Aquilino Mota Duarte - Boa Vista (RR)","90.6"
"Operário - Boa Vista (RR)","90.4"
"Jardim Tropical - Boa Vista (RR)","92.3"
"Nova Canaã - Boa Vista (RR)","94.8"
"Jardim Equatorial - Boa Vista (RR)","93.8"
"Cauamé - Boa Vista (RR)","95.1"
"Alvorada - Boa Vista (RR)","93.4"
"Professora Araceli Souto Maior - Boa Vista (RR)","90.8"
"Bela Vista - Boa Vista (RR)","92.2"
"Cinturão Verde - Boa Vista (RR)","97.4"
"Dr. Silvio Leite - Boa Vista (RR)","95.0"
"Jardim Primavera - Boa Vista (RR)","92.9"
"Jóquei Clube - Boa Vista (RR)","95.6"
"Nova Cidade - Boa Vista (RR)","90.7"
"Pintolândia - Boa Vista (RR)","92.8"
"Dr. Silvio Botelho - Boa Vista (RR)","92.3"
"Santa Luzia - Boa Vista (RR)","91.6"
"Senador Hélio Campos - Boa Vista (RR)","90.2"
"Piscicultura - Boa Vista (RR)","92.1"
"Raiar do Sol - Boa Vista (RR)","91.9"
"Santa Tereza - Boa Vista (RR)","93.6"
"União - Boa Vista (RR)","93.7"
"Jardim Caranã - Boa Vista (RR)","90.4"
"Cidade Satélite - Boa Vista (RR)","94.5"
"Olímpico - Boa Vista (RR)","94.0"
"Doutor Airton Rocha - Boa Vista (RR)","98.1"
"Laura Moreira - Boa Vista (RR)","91.3"
"Murilo Teixeira Cidade - Boa Vista (RR)","92.4"
"5 de Outubro - Boa Vista (RR)","99.5"
"São Bento - Boa Vista (RR)","92.1"
"Centro - Abaetetuba (PA)","94.9"
"São José - Abaetetuba (PA)","91.2"
"São Lourenço - Abaetetuba (PA)","94.2"
"Aviação - Abaetetuba (PA)","91.9"
"Santa Rosa - Abaetetuba (PA)","93.8"
"Algodoal - Abaetetuba (PA)","87.5"
"São João - Abaetetuba (PA)","89.6"
"Francilândia - Abaetetuba (PA)","91.3"
"Cristo Redentor - Abaetetuba (PA)","90.1"
"São Sebastião - Abaetetuba (PA)","86.6"
"São Domingos da Angélica - Abaetetuba (PA)","85.4"
"Mutirão - Abaetetuba (PA)","89.9"
"Castanhal - Abaetetuba (PA)","88.2"
"Santa Clara - Abaetetuba (PA)","85.0"
"Capim Marinho - Afuá (PA)","75.0"
"Centro - Altamira (PA)","91.5"
"Esplanada do Xingu - Altamira (PA)","94.0"
"Jardim Uirapuru - Altamira (PA)","93.7"
"Jardim Independente II - Altamira (PA)","91.8"
"Brasília - Altamira (PA)","89.2"
"Liberdade - Altamira (PA)","84.7"
"Boa Esperança - Altamira (PA)","87.0"
"Colinas - Altamira (PA)","86.3"
"Sudam I - Altamira (PA)","94.5"
"Premem - Altamira (PA)","95.1"
"Sudam II - Altamira (PA)","94.0"
"Jardim Independente I - Altamira (PA)","93.6"
"Ibiza - Altamira (PA)","91.3"
"Bela Vista - Altamira (PA)","87.6"
"Multirão - Altamira (PA)","89.1"
"Jardim Altamira - Altamira (PA)","90.7"
"Aparecida - Altamira (PA)","83.4"
"Alberto Soares - Altamira (PA)","87.5"
"Nova Altamira - Altamira (PA)","79.4"
